period,date,winningNumber
2006005,2006-01-05,1856
2006006,2006-01-06,5982
2006007,2006-01-07,5616
2006008,2006-01-08,4893
2006009,2006-01-09,8030
2006010,2006-01-10,5381
2006011,2006-01-11,7551
2006012,2006-01-12,6526
2006013,2006-01-13,7770
2006014,2006-01-14,6783
2006015,2006-01-15,4460
2006016,2006-01-16,5191
2006017,2006-01-17,9254
2006018,2006-01-18,9168
2006019,2006-01-19,1993
2006020,2006-01-20,7109
2006021,2006-01-21,4381
2006022,2006-01-22,1645
2006023,2006-01-23,2157
2006024,2006-01-24,1636
2006025,2006-01-25,7078
2006026,2006-01-26,9989
2006027,2006-01-27,4043
2006028,2006-02-05,5470
2006029,2006-02-06,7061
2006030,2006-02-07,0865
2006031,2006-02-08,6751
2006032,2006-02-09,6992
2006033,2006-02-10,5496
2006034,2006-02-11,4654
2006035,2006-02-12,6478
2006036,2006-02-13,1544
2006037,2006-02-14,2365
2006038,2006-02-15,3743
2006039,2006-02-16,5879
2006040,2006-02-17,8769
2006041,2006-02-18,8532
2006042,2006-02-19,0281
2006043,2006-02-20,4454
2006044,2006-02-21,0260
2006045,2006-02-22,1878
2006046,2006-02-23,5687
2006047,2006-02-24,6942
2006048,2006-02-25,5648
2006049,2006-02-26,4899
2006050,2006-02-27,8744
2006051,2006-02-28,8739
2006052,2006-03-01,5013
2006053,2006-03-02,6987
2006054,2006-03-03,9097
2006055,2006-03-04,1409
2006056,2006-03-05,8989
2006057,2006-03-06,7912
2006058,2006-03-07,6003
2006059,2006-03-08,9903
2006060,2006-03-09,0626
2006061,2006-03-10,2242
2006062,2006-03-11,7610
2006063,2006-03-12,4588
2006064,2006-03-13,9832
2006065,2006-03-14,9215
2006066,2006-03-15,9671
2006067,2006-03-16,1492
2006068,2006-03-17,0034
2006069,2006-03-18,0825
2006070,2006-03-19,4153
2006071,2006-03-20,2027
2006072,2006-03-21,4207
2006073,2006-03-22,2039
2006074,2006-03-23,2924
2006075,2006-03-24,8442
2006076,2006-03-25,2246
2006077,2006-03-26,2015
2006078,2006-03-27,2868
2006079,2006-03-28,7144
2006080,2006-03-29,5442
2006081,2006-03-30,4343
2006082,2006-03-31,6712
2006083,2006-04-01,9729
2006084,2006-04-02,2769
2006085,2006-04-03,4959
2006086,2006-04-04,1628
2006087,2006-04-05,9475
2006088,2006-04-06,6424
2006089,2006-04-07,4921
2006090,2006-04-08,8776
2006091,2006-04-09,5333
2006092,2006-04-10,4446
2006093,2006-04-11,8247
2006094,2006-04-12,0109
2006095,2006-04-13,3043
2006096,2006-04-14,2750
2006097,2006-04-15,9382
2006098,2006-04-16,6601
2006099,2006-04-17,8265
2006100,2006-04-18,4518
2006101,2006-04-19,4300
2006102,2006-04-20,2601
2006103,2006-04-21,2238
2006104,2006-04-22,6168
2006105,2006-04-23,5199
2006106,2006-04-24,5339
2006107,2006-04-25,1904
2006108,2006-04-26,6969
2006109,2006-04-27,3087
2006110,2006-04-28,4371
2006111,2006-04-29,2181
2006112,2006-04-30,4993
2006113,2006-05-01,6014
2006114,2006-05-02,9978
2006115,2006-05-03,2594
2006116,2006-05-04,3326
2006117,2006-05-05,9993
2006118,2006-05-06,8902
2006119,2006-05-07,9007
2006120,2006-05-08,3322
2006121,2006-05-09,5751
2006122,2006-05-10,5208
2006123,2006-05-11,2491
2006124,2006-05-12,2617
2006125,2006-05-13,3151
2006126,2006-05-14,2389
2006127,2006-05-15,1034
2006128,2006-05-16,6400
2006129,2006-05-17,9294
