period,date,winningNumber
2015197,2015-07-23,4021
2015198,2015-07-24,3133
2015199,2015-07-25,8679
2015200,2015-07-26,9348
2015201,2015-07-27,0638
2015202,2015-07-28,3950
2015203,2015-07-29,6472
2015204,2015-07-30,0684
2015205,2015-07-31,2122
2015206,2015-08-01,8818
2015207,2015-08-02,3385
2015208,2015-08-03,3534
2015209,2015-08-04,7279
2015210,2015-08-05,7289
2015211,2015-08-06,9514
2015212,2015-08-07,6143
2015213,2015-08-08,0555
2015214,2015-08-09,1909
2015215,2015-08-10,1547
2015216,2015-08-11,2545
2015217,2015-08-12,2426
2015218,2015-08-13,2325
2015219,2015-08-14,1928
2015220,2015-08-15,3287
2015221,2015-08-16,7816
2015222,2015-08-17,4386
2015223,2015-08-18,3872
2015224,2015-08-19,6414
2015225,2015-08-20,8594
2015226,2015-08-21,4402
2015227,2015-08-22,4428
2015228,2015-08-23,3121
2015229,2015-08-24,9914
2015230,2015-08-25,7275
2015231,2015-08-26,5099
2015232,2015-08-27,5320
2015233,2015-08-28,9836
2015234,2015-08-29,4360
2015235,2015-08-30,4654
2015236,2015-08-31,9107
2015237,2015-09-01,3042
2015238,2015-09-02,1275
2015239,2015-09-03,9319
2015240,2015-09-04,6891
2015241,2015-09-05,6512
2015242,2015-09-06,6780
2015243,2015-09-07,0088
2015244,2015-09-08,3508
2015245,2015-09-09,9874
2015246,2015-09-10,7789
2015247,2015-09-11,0658
2015248,2015-09-12,2513
2015249,2015-09-13,4612
2015250,2015-09-14,7132
2015251,2015-09-15,4943
2015252,2015-09-16,4511
2015253,2015-09-17,2924
2015254,2015-09-18,3436
2015255,2015-09-19,4303
2015256,2015-09-20,1566
2015257,2015-09-21,0230
2015258,2015-09-22,3746
2015259,2015-09-23,9529
2015260,2015-09-24,2582
2015261,2015-09-25,8338
2015262,2015-09-26,2526
2015263,2015-09-27,2164
2015264,2015-09-28,1738
2015265,2015-09-29,9254
2015266,2015-09-30,0845
2015267,2015-10-01,6525
2015268,2015-10-02,8080
2015269,2015-10-03,2583
2015270,2015-10-04,1156
2015271,2015-10-05,9792
2015272,2015-10-06,4195
2015273,2015-10-07,2547
2015274,2015-10-08,3066
2015275,2015-10-09,9348
2015276,2015-10-10,8916
2015277,2015-10-11,4838
2015278,2015-10-12,0117
2015279,2015-10-13,2177
2015280,2015-10-14,9887
2015281,2015-10-15,0904
2015282,2015-10-16,4920
2015283,2015-10-17,2349
2015284,2015-10-18,6320
2015285,2015-10-19,4219
2015286,2015-10-20,0749
2015287,2015-10-21,0508
2015288,2015-10-22,8424
2015289,2015-10-23,5290
2015290,2015-10-24,0649
2015291,2015-10-25,1201
2015292,2015-10-26,2968
2015293,2015-10-27,4321
2015294,2015-10-28,0412
2015295,2015-10-29,3054
2015296,2015-10-30,9054
2015297,2015-10-31,4405
2015298,2015-11-01,5944
2015299,2015-11-02,6275
2015300,2015-11-03,8458
2015301,2015-11-04,4492
2015302,2015-11-05,6428
2015303,2015-11-06,4410
2015304,2015-11-07,2712
2015305,2015-11-08,5492
2015306,2015-11-09,2173
2015307,2015-11-10,0692
2015308,2015-11-11,3795
2015309,2015-11-12,0037
2015310,2015-11-13,2578
2015311,2015-11-14,2332
2015312,2015-11-15,4355
2015313,2015-11-16,5550
2015314,2015-11-17,0653
2015315,2015-11-18,7504
2015316,2015-11-19,0217
2015317,2015-11-20,8121
2015318,2015-11-21,3491
2015319,2015-11-22,6199
2015320,2015-11-23,8843
2015321,2015-11-24,8363
2015322,2015-11-25,6449
2015323,2015-11-26,1697
2015324,2015-11-27,7936
2015325,2015-11-28,9296
2015326,2015-11-29,8756
2015327,2015-11-30,4298
2015328,2015-12-01,4970
2015329,2015-12-02,6755
2015330,2015-12-03,0565
2015331,2015-12-04,7802
2015332,2015-12-05,6904
2015333,2015-12-06,3888
2015334,2015-12-07,0523
2015335,2015-12-08,5624
2015336,2015-12-09,6581
2015337,2015-12-10,9139
2015338,2015-12-11,9092
2015339,2015-12-12,9973
2015340,2015-12-13,8281
2015341,2015-12-14,6641
2015342,2015-12-15,5963
2015343,2015-12-16,5807
2015344,2015-12-17,2537
2015345,2015-12-18,2934
2015346,2015-12-19,7019
2015347,2015-12-20,1457
2015348,2015-12-21,8787
2015349,2015-12-22,7502
2015350,2015-12-23,8135
2015351,2015-12-24,9745
2015352,2015-12-25,9181
2015353,2015-12-26,3497
2015354,2015-12-27,3914
2015355,2015-12-28,8713
2015356,2015-12-29,3976
2015357,2015-12-30,4322
2015358,2015-12-31,0098
2016001,2016-01-01,8281
2016002,2016-01-02,5670
2016003,2016-01-03,5739
2016004,2016-01-04,5432
2016005,2016-01-05,4398
2016006,2016-01-06,1011
2016007,2016-01-07,1741
2016008,2016-01-08,9679
2016009,2016-01-09,6484
2016010,2016-01-10,8237
2016011,2016-01-11,4617
2016012,2016-01-12,5305
2016013,2016-01-13,0198
2016014,2016-01-14,9258
2016015,2016-01-15,6862
2016016,2016-01-16,8413
2016017,2016-01-17,8616
2016018,2016-01-18,6465
2016019,2016-01-19,8836
2016020,2016-01-20,6936
2016021,2016-01-21,4024
2016022,2016-01-22,7448
2016023,2016-01-23,0415
2016024,2016-01-24,0917
2016025,2016-01-25,5005
2016026,2016-01-26,4033
2016027,2016-01-27,7297
2016028,2016-01-28,2628
2016029,2016-01-29,2252
2016030,2016-01-30,9885
2016031,2016-01-31,4579
2016032,2016-02-01,5557
2016033,2016-02-02,0025
2016034,2016-02-03,1022
2016035,2016-02-04,0517
2016036,2016-02-05,2582
2016037,2016-02-06,6241
2016038,2016-02-14,8238
2016039,2016-02-15,5032
2016040,2016-02-16,0472
2016041,2016-02-17,7205
2016042,2016-02-18,7297
2016043,2016-02-19,9446
2016044,2016-02-20,0128
2016045,2016-02-21,6126
2016046,2016-02-22,1262
2016047,2016-02-23,1329
2016048,2016-02-24,3372
2016049,2016-02-25,6188
2016050,2016-02-26,1407
2016051,2016-02-27,1021
2016052,2016-02-28,7926
2016053,2016-02-29,4470
2016054,2016-03-01,7367
2016055,2016-03-02,3235
2016056,2016-03-03,6654
2016057,2016-03-04,7647
2016058,2016-03-05,1193
2016059,2016-03-06,0781
2016060,2016-03-07,6868
2016061,2016-03-08,6757
2016062,2016-03-09,4772
2016063,2016-03-10,4914
2016064,2016-03-11,4550
2016065,2016-03-12,0169
2016066,2016-03-13,4556
2016067,2016-03-14,4455
2016068,2016-03-15,0135
2016069,2016-03-16,9953
2016070,2016-03-17,7893
2016071,2016-03-18,5308
2016072,2016-03-19,2998
2016073,2016-03-20,9721
2016074,2016-03-21,9517
2016075,2016-03-22,6372
2016076,2016-03-23,6060
2016077,2016-03-24,7825
2016078,2016-03-25,4679
2016079,2016-03-26,3900
2016080,2016-03-27,6702
2016081,2016-03-28,1509
2016082,2016-03-29,7482
2016083,2016-03-30,2341
2016084,2016-03-31,0236
2016085,2016-04-01,9976
2016086,2016-04-02,0659
2016087,2016-04-03,9172
2016088,2016-04-04,5474
2016089,2016-04-05,9833
2016090,2016-04-06,8677
2016091,2016-04-07,1332
2016092,2016-04-08,2731
2016093,2016-04-09,9828
2016094,2016-04-10,9607
2016095,2016-04-11,8697
2016096,2016-04-12,4109
2016097,2016-04-13,1116
2016098,2016-04-14,9829
2016099,2016-04-15,3329
2016100,2016-04-16,0374
2016101,2016-04-17,6034
2016102,2016-04-18,8852
2016103,2016-04-19,7629
2016104,2016-04-20,2195
2016105,2016-04-21,6113
2016106,2016-04-22,0375
2016107,2016-04-23,2407
2016108,2016-04-24,2368
2016109,2016-04-25,0716
2016110,2016-04-26,7725
2016111,2016-04-27,4765
2016112,2016-04-28,6111
2016113,2016-04-29,2978
2016114,2016-04-30,2182
2016115,2016-05-01,0021
2016116,2016-05-02,4883
2016117,2016-05-03,9455
2016118,2016-05-04,3698
2016119,2016-05-05,1391
2016120,2016-05-06,8773
2016121,2016-05-07,5645
2016122,2016-05-08,4362
2016123,2016-05-09,1470
2016124,2016-05-10,8567
2016125,2016-05-11,2017
2016126,2016-05-12,0639
2016127,2016-05-13,9970
2016128,2016-05-14,7446
2016129,2016-05-15,4054
2016130,2016-05-16,2476
2016131,2016-05-17,6651
2016132,2016-05-18,4910
2016133,2016-05-19,7111
2016134,2016-05-20,9230
2016135,2016-05-21,1442
2016136,2016-05-22,6653
2016137,2016-05-23,9667
2016138,2016-05-24,1331
2016139,2016-05-25,1887
2016140,2016-05-26,6566
2016141,2016-05-27,7207
2016142,2016-05-28,3477
2016143,2016-05-29,1127
2016144,2016-05-30,5682
2016145,2016-05-31,0144
2016146,2016-06-01,1458
2016147,2016-06-02,9764
2016148,2016-06-03,7876
2016149,2016-06-04,7579
2016150,2016-06-05,1148
2016151,2016-06-06,6160
2016152,2016-06-07,1251
2016153,2016-06-08,6223
2016154,2016-06-09,7127
2016155,2016-06-10,9996
2016156,2016-06-11,3163
2016157,2016-06-12,6031
2016158,2016-06-13,6178
2016159,2016-06-14,8356
2016160,2016-06-15,6573
2016161,2016-06-16,8453
2016162,2016-06-17,7088
2016163,2016-06-18,9707
2016164,2016-06-19,7232
2016165,2016-06-20,5713
2016166,2016-06-21,4124
2016167,2016-06-22,9690
2016168,2016-06-23,9004
2016169,2016-06-24,1960
2016170,2016-06-25,4097
2016171,2016-06-26,0581
2016172,2016-06-27,7608
2016173,2016-06-28,2623
2016174,2016-06-29,1115
2016175,2016-06-30,6308
2016176,2016-07-01,7657
2016177,2016-07-02,5851
2016178,2016-07-03,9002
2016179,2016-07-04,4568
2016180,2016-07-05,6326
2016181,2016-07-06,4371
2016182,2016-07-07,2003
2016183,2016-07-08,5734
2016184,2016-07-09,3599
2016185,2016-07-10,5423
2016186,2016-07-11,8117
2016187,2016-07-12,3074
2016188,2016-07-13,8428
2016189,2016-07-14,1316
2016190,2016-07-15,0269
2016191,2016-07-16,2084
2016192,2016-07-17,3251
2016193,2016-07-18,7837
2016194,2016-07-19,5572
2016195,2016-07-20,0242
2016196,2016-07-21,3398
2016197,2016-07-22,3006
2016198,2016-07-23,2894
2016199,2016-07-24,5103
2016200,2016-07-25,5835
2016201,2016-07-26,3746
2016202,2016-07-27,5846
2016203,2016-07-28,0448
2016204,2016-07-29,2442
2016205,2016-07-30,4354
2016206,2016-07-31,7882
2016207,2016-08-01,7759
2016208,2016-08-02,2841
2016209,2016-08-03,2995
2016210,2016-08-04,3053
2016211,2016-08-05,4631
2016212,2016-08-06,6938
2016213,2016-08-07,6586
2016214,2016-08-08,7095
2016215,2016-08-09,7872
2016216,2016-08-10,3980
2016217,2016-08-11,4499
2016218,2016-08-12,9005
2016219,2016-08-13,0471
2016220,2016-08-14,0737
2016221,2016-08-15,6123
2016222,2016-08-16,4258
2016223,2016-08-17,0634
2016224,2016-08-18,6569
2016225,2016-08-19,6360
2016226,2016-08-20,0168
2016227,2016-08-21,3972
2016228,2016-08-22,8652
2016229,2016-08-23,0427
2016230,2016-08-24,5665
2016231,2016-08-25,2855
2016232,2016-08-26,9165
2016233,2016-08-27,5689
2016234,2016-08-28,9761
2016235,2016-08-29,4504
2016236,2016-08-30,2630
2016237,2016-08-31,2847
2016238,2016-09-01,5439
2016239,2016-09-02,5859
2016240,2016-09-03,6394
2016241,2016-09-04,3204
2016242,2016-09-05,7526
2016243,2016-09-06,4160
2016244,2016-09-07,1539
2016245,2016-09-08,3894
2016246,2016-09-09,7827
2016247,2016-09-10,8826
2016248,2016-09-11,7271
2016249,2016-09-12,9735
2016250,2016-09-13,1626
2016251,2016-09-14,3067
2016252,2016-09-15,4591
2016253,2016-09-16,6919
2016254,2016-09-17,6529
2016255,2016-09-18,3350
2016256,2016-09-19,1370
2016257,2016-09-20,3890
2016258,2016-09-21,9610
2016259,2016-09-22,3969
2016260,2016-09-23,0383
2016261,2016-09-24,9941
2016262,2016-09-25,3584
2016263,2016-09-26,1109
2016264,2016-09-27,6711
2016265,2016-09-28,6950
2016266,2016-09-29,6402
2016267,2016-09-30,1410
2016268,2016-10-01,0762
2016269,2016-10-02,2211
2016270,2016-10-03,0424
2016271,2016-10-04,8755
2016272,2016-10-05,1969
2016273,2016-10-06,5836
2016274,2016-10-07,9059
2016275,2016-10-08,8204
2016276,2016-10-09,9645
2016277,2016-10-10,5847
2016278,2016-10-11,2328
2016279,2016-10-12,5062
2016280,2016-10-13,8020
2016281,2016-10-14,1369
2016282,2016-10-15,8282
2016283,2016-10-16,0047
2016284,2016-10-17,4670
2016285,2016-10-18,7283
2016286,2016-10-19,6233
2016287,2016-10-20,8901
2016288,2016-10-21,4303
2016289,2016-10-22,7361
2016290,2016-10-23,6310
2016291,2016-10-24,1964
2016292,2016-10-25,2400
2016293,2016-10-26,8047
2016294,2016-10-27,6124
2016295,2016-10-28,3921
2016296,2016-10-29,4795
2016297,2016-10-30,8535
2016298,2016-10-31,7332
2016299,2016-11-01,5173
2016300,2016-11-02,1897
2016301,2016-11-03,8886
2016302,2016-11-04,5183
2016303,2016-11-05,7510
2016304,2016-11-06,4709
2016305,2016-11-07,3680
2016306,2016-11-08,7409
2016307,2016-11-09,5860
2016308,2016-11-10,1268
2016309,2016-11-11,2251
2016310,2016-11-12,7946
2016311,2016-11-13,8414
2016312,2016-11-14,6646
2016313,2016-11-15,3146
2016314,2016-11-16,2352
2016315,2016-11-17,4972
2016316,2016-11-18,2147
2016317,2016-11-19,8869
2016318,2016-11-20,1420
2016319,2016-11-21,4198
2016320,2016-11-22,3493
2016321,2016-11-23,6063
2016322,2016-11-24,2710
2016323,2016-11-25,8402
2016324,2016-11-26,1737
2016325,2016-11-27,6689
2016326,2016-11-28,3631
2016327,2016-11-29,6568
2016328,2016-11-30,8659
2016329,2016-12-01,9510
2016330,2016-12-02,5649
2016331,2016-12-03,6731
2016332,2016-12-04,4451
2016333,2016-12-05,9750
2016334,2016-12-06,3555
2016335,2016-12-07,5384
2016336,2016-12-08,1507
2016337,2016-12-09,5288
2016338,2016-12-10,4012
2016339,2016-12-11,5483
2016340,2016-12-12,6482
2016341,2016-12-13,0397
2016342,2016-12-14,6332
2016343,2016-12-15,8074
2016344,2016-12-16,1031
2016345,2016-12-17,5627
2016346,2016-12-18,1003
2016347,2016-12-19,5890
2016348,2016-12-20,7572
2016349,2016-12-21,1544
2016350,2016-12-22,5194
2016351,2016-12-23,4752
2016352,2016-12-24,4241
2016353,2016-12-25,4531
2016354,2016-12-26,5336
2016355,2016-12-27,7196
2016356,2016-12-28,1808
2016357,2016-12-29,2221
2016358,2016-12-30,1439
2016359,2016-12-31,8965
2017001,2017-01-01,0923
2017002,2017-01-02,7585
2017003,2017-01-03,3740
2017004,2017-01-04,6166
2017005,2017-01-05,3423
2017006,2017-01-06,4267
2017007,2017-01-07,6928
2017008,2017-01-08,5970
2017009,2017-01-09,3178
2017010,2017-01-10,2615
2017011,2017-01-11,4868
2017012,2017-01-12,0599
2017013,2017-01-13,0396
2017014,2017-01-14,4283
2017015,2017-01-15,6860
2017016,2017-01-16,7963
2017017,2017-01-17,8976
2017018,2017-01-18,3979
2017019,2017-01-19,8449
2017020,2017-01-20,5261
2017021,2017-01-21,8749
2017022,2017-01-22,6775
2017023,2017-01-23,2375
2017024,2017-01-24,0439
2017025,2017-01-25,2779
2017026,2017-01-26,0814
2017027,2017-02-03,3253
2017028,2017-02-04,9550
2017029,2017-02-05,8047
2017030,2017-02-06,8963
2017031,2017-02-07,5020
2017032,2017-02-08,7387
2017033,2017-02-09,7856
2017034,2017-02-10,8957
2017035,2017-02-11,8907
2017036,2017-02-12,4728
2017037,2017-02-13,3808
2017038,2017-02-14,8235
2017039,2017-02-15,5988
2017040,2017-02-16,3950
2017041,2017-02-17,9828
2017042,2017-02-18,1499
2017043,2017-02-19,5083
2017044,2017-02-20,1385
2017045,2017-02-21,7351
2017046,2017-02-22,8876
2017047,2017-02-23,2836
2017048,2017-02-24,1642
2017049,2017-02-25,6653
2017050,2017-02-26,3078
2017051,2017-02-27,4448
2017052,2017-02-28,1595
2017053,2017-03-01,9218
2017054,2017-03-02,7024
2017055,2017-03-03,3665
2017056,2017-03-04,2327
2017057,2017-03-05,9216
2017058,2017-03-06,7300
2017059,2017-03-07,6629
2017060,2017-03-08,5467
2017061,2017-03-09,1988
2017062,2017-03-10,8875
2017063,2017-03-11,7689
2017064,2017-03-12,1659
2017065,2017-03-13,5523
2017066,2017-03-14,8488
2017067,2017-03-15,3828
2017068,2017-03-16,2179
2017069,2017-03-17,9466
2017070,2017-03-18,3336
2017071,2017-03-19,8425
2017072,2017-03-20,9483
2017073,2017-03-21,0312
2017074,2017-03-22,6569
2017075,2017-03-23,9000
2017076,2017-03-24,3896
2017077,2017-03-25,6343
2017078,2017-03-26,6336
2017079,2017-03-27,4857
2017080,2017-03-28,1884
2017081,2017-03-29,2109
2017082,2017-03-30,5532
2017083,2017-03-31,5647
2017084,2017-04-01,8369
2017085,2017-04-02,7221
2017086,2017-04-03,9441
2017087,2017-04-04,2370
2017088,2017-04-05,5613
2017089,2017-04-06,3891
2017090,2017-04-07,2838
2017091,2017-04-08,6765
2017092,2017-04-09,7598
2017093,2017-04-10,5800
2017094,2017-04-11,0984
2017095,2017-04-12,3231
2017096,2017-04-13,8092
2017097,2017-04-14,8067
2017098,2017-04-15,2283
2017099,2017-04-16,9961
2017100,2017-04-17,8131
2017101,2017-04-18,3905
2017102,2017-04-19,0593
2017103,2017-04-20,0445
2017104,2017-04-21,7820
2017105,2017-04-22,8466
2017106,2017-04-23,4025
2017107,2017-04-24,9513
2017108,2017-04-25,7271
2017109,2017-04-26,0304
2017110,2017-04-27,8156
2017111,2017-04-28,6580
2017112,2017-04-29,6863
2017113,2017-04-30,1576
2017114,2017-05-01,6813
2017115,2017-05-02,5679
2017116,2017-05-03,2131
2017117,2017-05-04,2998
2017118,2017-05-05,4998
2017119,2017-05-06,5228
2017120,2017-05-07,4588
2017121,2017-05-08,0542
2017122,2017-05-09,4869
2017123,2017-05-10,4920
2017124,2017-05-11,0818
2017125,2017-05-12,2552
2017126,2017-05-13,2589
2017127,2017-05-14,7394
2017128,2017-05-15,4522
2017129,2017-05-16,3654
2017130,2017-05-17,5892
2017131,2017-05-18,9197
2017132,2017-05-19,3058
2017133,2017-05-20,1665
2017134,2017-05-21,6974
2017135,2017-05-22,5253
2017136,2017-05-23,5102
2017137,2017-05-24,1229
2017138,2017-05-25,0206
2017139,2017-05-26,3600
2017140,2017-05-27,2045
2017141,2017-05-28,6048
2017142,2017-05-29,0133
2017143,2017-05-30,1775
2017144,2017-05-31,2399
2017145,2017-06-01,5910
2017146,2017-06-02,9425
2017147,2017-06-03,3319
2017148,2017-06-04,1526
2017149,2017-06-05,9877
2017150,2017-06-06,5293
2017151,2017-06-07,0781
2017152,2017-06-08,8025
2017153,2017-06-09,8859
2017154,2017-06-10,2159
2017155,2017-06-11,0047
2017156,2017-06-12,0072
2017157,2017-06-13,8185
2017158,2017-06-14,0832
2017159,2017-06-15,1238
2017160,2017-06-16,9464
2017161,2017-06-17,8302
2017162,2017-06-18,8146
2017163,2017-06-19,7593
2017164,2017-06-20,4472
2017165,2017-06-21,3304
2017166,2017-06-22,6449
2017167,2017-06-23,7951
2017168,2017-06-24,1756
2017169,2017-06-25,6445
2017170,2017-06-26,5441
2017171,2017-06-27,1901
2017172,2017-06-28,4963
2017173,2017-06-29,7126
2017174,2017-06-30,9603
2017175,2017-07-01,3768
2017176,2017-07-02,6021
2017177,2017-07-03,6701
2017178,2017-07-04,3036
2017179,2017-07-05,0665
2017180,2017-07-06,5860
2017181,2017-07-07,4841
2017182,2017-07-08,9751
2017183,2017-07-09,4095
2017184,2017-07-10,1296
2017185,2017-07-11,3701
2017186,2017-07-12,9678
2017187,2017-07-13,8311
2017188,2017-07-14,2095
2017189,2017-07-15,9608
2017190,2017-07-16,4467
2017191,2017-07-17,9787
2017192,2017-07-18,2797
2017193,2017-07-19,8804
2017194,2017-07-20,6250
2017195,2017-07-21,3198
2017196,2017-07-22,4361
2017197,2017-07-23,5941
2017198,2017-07-24,7546
2017199,2017-07-25,3309
2017200,2017-07-26,9351
2017201,2017-07-27,4451
2017202,2017-07-28,4611
2017203,2017-07-29,2436
2017204,2017-07-30,2323
2017205,2017-07-31,6494
2017206,2017-08-01,3754
2017207,2017-08-02,6971
2017208,2017-08-03,1088
2017209,2017-08-04,3912
2017210,2017-08-05,9111
2017211,2017-08-06,1167
2017212,2017-08-07,0023
2017213,2017-08-08,7270
2017214,2017-08-09,4234
2017215,2017-08-10,2129
2017216,2017-08-11,8719
2017217,2017-08-12,7963
2017218,2017-08-13,5736
2017219,2017-08-14,4930
2017220,2017-08-15,6436
2017221,2017-08-16,4479
2017222,2017-08-17,7074
2017223,2017-08-18,4960
2017224,2017-08-19,6347
2017225,2017-08-20,4883
2017226,2017-08-21,3355
2017227,2017-08-22,2474
2017228,2017-08-23,3899
2017229,2017-08-24,4876
2017230,2017-08-25,6743
2017231,2017-08-26,4209
2017232,2017-08-27,8445
2017233,2017-08-28,1874
2017234,2017-08-29,4663
2017235,2017-08-30,1560
2017236,2017-08-31,5155
2017237,2017-09-01,2104
2017238,2017-09-02,9210
2017239,2017-09-03,6058
2017240,2017-09-04,5170
2017241,2017-09-05,9395
2017242,2017-09-06,8935
2017243,2017-09-07,3358
2017244,2017-09-08,8324
2017245,2017-09-09,6230
2017246,2017-09-10,1111
2017247,2017-09-11,9453
2017248,2017-09-12,8497
2017249,2017-09-13,3618
2017250,2017-09-14,8560
2017251,2017-09-15,1511
2017252,2017-09-16,1788
2017253,2017-09-17,7789
2017254,2017-09-18,9159
2017255,2017-09-19,9484
2017256,2017-09-20,1320
2017257,2017-09-21,2231
2017258,2017-09-22,8715
2017259,2017-09-23,4873
2017260,2017-09-24,9298
2017261,2017-09-25,6352
2017262,2017-09-26,3917
2017263,2017-09-27,3354
2017264,2017-09-28,6805
2017265,2017-09-29,3091
2017266,2017-09-30,1515
2017267,2017-10-01,7147
2017268,2017-10-02,3171
2017269,2017-10-03,0454
2017270,2017-10-04,1411
2017271,2017-10-05,5503
2017272,2017-10-06,9213
2017273,2017-10-07,3803
2017274,2017-10-08,9463
2017275,2017-10-09,9658
2017276,2017-10-10,0938
2017277,2017-10-11,0760
2017278,2017-10-12,0579
2017279,2017-10-13,2625
2017280,2017-10-14,7973
2017281,2017-10-15,8082
2017282,2017-10-16,3022
2017283,2017-10-17,1540
2017284,2017-10-18,6185
2017285,2017-10-19,9773
2017286,2017-10-20,4816
2017287,2017-10-21,0944
2017288,2017-10-22,7569
2017289,2017-10-23,7448
2017290,2017-10-24,4236
2017291,2017-10-25,6947
2017292,2017-10-26,9460
2017293,2017-10-27,7871
2017294,2017-10-28,4187
2017295,2017-10-29,5543
2017296,2017-10-30,3189
2017297,2017-10-31,8102
2017298,2017-11-01,0996
2017299,2017-11-02,6854
2017300,2017-11-03,7541
2017301,2017-11-04,6162
2017302,2017-11-05,9022
2017303,2017-11-06,4588
2017304,2017-11-07,4441
2017305,2017-11-08,0050
2017306,2017-11-09,1258
2017307,2017-11-10,6237
2017308,2017-11-11,8919
2017309,2017-11-12,2621
2017310,2017-11-13,7618
2017311,2017-11-14,9006
2017312,2017-11-15,5988
2017313,2017-11-16,3064
2017314,2017-11-17,5809
2017315,2017-11-18,2430
2017316,2017-11-19,2025
2017317,2017-11-20,1039
2017318,2017-11-21,8836
2017319,2017-11-22,9395
2017320,2017-11-23,0363
2017321,2017-11-24,4350
2017322,2017-11-25,1738
2017323,2017-11-26,5723
2017324,2017-11-27,8285
2017325,2017-11-28,5090
2017326,2017-11-29,7231
2017327,2017-11-30,1454
2017328,2017-12-01,6212
2017329,2017-12-02,5357
2017330,2017-12-03,3857
2017331,2017-12-04,0985
2017332,2017-12-05,3215
2017333,2017-12-06,4274
2017334,2017-12-07,1816
2017335,2017-12-08,6612
2017336,2017-12-09,3409
2017337,2017-12-10,9105
2017338,2017-12-11,2795
2017339,2017-12-12,1319
2017340,2017-12-13,1124
2017341,2017-12-14,7224
2017342,2017-12-15,3862
2017343,2017-12-16,7520
2017344,2017-12-17,3653
2017345,2017-12-18,3442
2017346,2017-12-19,1039
2017347,2017-12-20,0371
2017348,2017-12-21,0873
2017349,2017-12-22,1562
2017350,2017-12-23,1289
2017351,2017-12-24,2602
2017352,2017-12-25,9947
2017353,2017-12-26,3045
2017354,2017-12-27,1875
2017355,2017-12-28,3849
2017356,2017-12-29,9529
2017357,2017-12-30,8092
2017358,2017-12-31,9513
2018001,2018-01-01,1773
2018002,2018-01-02,6441
2018003,2018-01-03,1450
2018004,2018-01-04,4168
2018005,2018-01-05,3912
2018006,2018-01-06,8693
2018007,2018-01-07,0809
2018008,2018-01-08,4478
2018009,2018-01-09,4966
2018010,2018-01-10,1678
2018011,2018-01-11,9723
2018012,2018-01-12,4377
2018013,2018-01-13,6066
2018014,2018-01-14,1612
2018015,2018-01-15,7396
2018016,2018-01-16,3746
2018017,2018-01-17,9904
2018018,2018-01-18,1741
2018019,2018-01-19,7604
2018020,2018-01-20,9217
2018021,2018-01-21,7262
2018022,2018-01-22,6566
2018023,2018-01-23,9360
2018024,2018-01-24,5068
2018025,2018-01-25,5436
2018026,2018-01-26,4761
2018027,2018-01-27,4893
2018028,2018-01-28,3134
2018029,2018-01-29,7908
2018030,2018-01-30,7537
2018031,2018-01-31,5257
2018032,2018-02-01,8609
2018033,2018-02-02,8708
2018034,2018-02-03,2633
2018035,2018-02-04,7525
2018036,2018-02-05,6935
2018037,2018-02-06,7683
2018038,2018-02-07,9475
2018039,2018-02-08,1259
2018040,2018-02-09,4781
2018041,2018-02-10,4115
2018042,2018-02-11,5376
2018043,2018-02-12,0790
2018044,2018-02-13,2372
2018045,2018-02-14,0091
2018046,2018-02-22,5516
2018047,2018-02-23,0885
2018048,2018-02-24,4445
2018049,2018-02-25,8182
2018050,2018-02-26,7802
2018051,2018-02-27,4242
2018052,2018-02-28,9584
2018053,2018-03-01,8274
2018054,2018-03-02,6639
2018055,2018-03-03,0437
2018056,2018-03-04,4462
2018057,2018-03-05,2523
2018058,2018-03-06,4977
2018059,2018-03-07,7556
2018060,2018-03-08,7748
2018061,2018-03-09,1348
2018062,2018-03-10,8365
2018063,2018-03-11,8203
2018064,2018-03-12,2342
2018065,2018-03-13,2389
2018066,2018-03-14,2261
2018067,2018-03-15,1714
2018068,2018-03-16,9112
2018069,2018-03-17,1411
2018070,2018-03-18,8909
2018071,2018-03-19,5034
2018072,2018-03-20,4122
2018073,2018-03-21,7481
2018074,2018-03-22,9416
2018075,2018-03-23,3428
2018076,2018-03-24,3288
2018077,2018-03-25,1379
2018078,2018-03-26,2942
2018079,2018-03-27,7388
2018080,2018-03-28,7496
2018081,2018-03-29,9484
2018082,2018-03-30,5743
2018083,2018-03-31,7525
2018084,2018-04-01,5540
2018085,2018-04-02,3342
2018086,2018-04-03,3916
2018087,2018-04-04,8278
2018088,2018-04-05,2127
2018089,2018-04-06,7736
2018090,2018-04-07,9425
2018091,2018-04-08,0716
2018092,2018-04-09,1535
2018093,2018-04-10,5530
2018094,2018-04-11,7342
2018095,2018-04-12,8942
2018096,2018-04-13,4759
2018097,2018-04-14,3042
2018098,2018-04-15,3944
2018099,2018-04-16,3328
2018100,2018-04-17,8305
2018101,2018-04-18,7983
2018102,2018-04-19,9383
2018103,2018-04-20,7960
2018104,2018-04-21,7674
2018105,2018-04-22,8458
2018106,2018-04-23,9604
2018107,2018-04-24,9470
2018108,2018-04-25,0105
2018109,2018-04-26,3312
2018110,2018-04-27,7465
2018111,2018-04-28,8170
2018112,2018-04-29,2569
2018113,2018-04-30,7983
2018114,2018-05-01,8878
2018115,2018-05-02,1807
2018116,2018-05-03,8200
2018117,2018-05-04,8368
2018118,2018-05-05,7861
2018119,2018-05-06,5054
2018120,2018-05-07,4427
